row_num,timestamp,run_id,sensor,tube,angle,position,adjusted_position,perpendicular_position,encoder_left,encoder_right,thickness_rc,score_rc,daq_timestamp,byte_offset
169,1662011046.612664,1,1,24,0,6.659010410308838,6.65901,24,-0.00099,-0.00099,0.1024,12,1662011045874.9724,674366
170,1662011046.612664,1,2,23,0,6.659010410308838,6.65901,23,-0.00099,-0.00099,0.3080,28,1662011045876.2234,678380
171,1662011046.612664,1,3,22,0,6.659010410308838,6.65901,22,-0.00099,-0.00099,0.3058,17,1662011045878.7234,682394
172,1662011046.612664,1,4,21,0,6.659010410308838,6.65901,21,-0.00099,-0.00099,0.2918,4,1662011045881.2231,686408
173,1662011046.612664,1,9,16,0,6.659010410308838,6.65901,16,-0.00099,-0.00099,0.1510,3,1662011045882.4744,690422
174,1662011046.612664,1,6,19,0,6.659010410308838,6.65901,19,-0.00099,-0.00099,0.0024,0,1662011045883.724,694436
175,1662011046.612664,1,10,15,0,6.659010410308838,6.65901,15,-0.00099,-0.00099,0.1534,2,1662011045884.974,698450
176,1662011046.612664,1,8,17,0,6.659010410308838,6.65901,17,-0.00099,-0.00099,0.1317,5,1662011045886.2244,702464
177,1662011046.612664,1,7,18,0,6.659010410308838,6.65901,18,-0.00099,-0.00099,0.3082,15,1662011045887.4744,706478
178,1662011046.612664,1,5,20,0,6.659010410308838,6.65901,20,-0.00099,-0.00099,0.3122,9,1662011045888.7253,710492
179,1662011046.612664,1,11,14,0,6.659010410308838,6.65901,14,-0.00099,-0.00099,0.1011,3,1662011045889.9753,714506
180,1662011046.612664,1,12,13,0,6.659010410308838,6.65901,13,-0.00099,-0.00099,0.2217,0,1662011045891.2253,718520
181,1662011046.612889,1,24,1,0,6.659010410308838,6.65901,1,-0.00099,-0.00099,0.9527,12,1662011045893.7253,722534
182,1662011046.612889,1,19,6,0,6.659010410308838,6.65901,6,-0.00099,-0.00099,0.6177,27,1662011045896.2263,726548
183,1662011046.612889,1,22,3,0,6.659010410308838,6.65901,3,-0.00099,-0.00099,0.0014,0,1662011045899.9763,730562
184,1662011046.612889,1,23,2,0,6.659010410308838,6.65901,2,-0.00099,-0.00099,0.0014,0,1662011045901.2273,734576
185,1662011046.612889,1,16,9,0,6.659010410308838,6.65901,9,-0.00099,-0.00099,0.6283,2,1662011045902.4773,738590
186,1662011046.612889,1,21,4,0,6.659010410308838,6.65901,4,-0.00099,-0.00099,0.0896,45,1662011045903.7273,742604
187,1662011046.612889,1,15,10,0,6.659010410308838,6.65901,10,-0.00099,-0.00099,0.1757,2,1662011045904.9773,746618
188,1662011046.612889,1,14,11,0,6.659010410308838,6.65901,11,-0.00099,-0.00099,0.0014,0,1662011045906.2273,750632
189,1662011046.612889,1,18,7,0,6.659010410308838,6.65901,7,-0.00099,-0.00099,0.0617,1,1662011045907.4783,754646
190,1662011046.612889,1,20,5,0,6.659010410308838,6.65901,5,-0.00099,-0.00099,0.1104,47,1662011045908.7283,758660
191,1662011046.612889,1,13,12,0,6.659010410308838,6.65901,12,-0.00099,-0.00099,0.1615,1,1662011045909.9783,762674
192,1662011046.612889,1,17,8,0,6.659010410308838,6.65901,8,-0.00099,-0.00099,0.3141,12,1662011045911.2285,766688
193,1662011046.612889,1,1,24,0,6.659010410308838,6.65901,24,-0.00099,-0.00099,0.2159,11,1662011045914.9792,770702
194,1662011046.612889,1,2,23,0,6.659010410308838,6.65901,23,-0.00099,-0.00099,0.3023,28,1662011045916.2292,774716
195,1662011046.612889,1,3,22,0,6.659010410308838,6.65901,22,-0.00099,-0.00099,0.3058,17,1662011045918.7292,778730
196,1662011046.612889,1,4,21,0,6.659010410308838,6.65901,21,-0.00099,-0.00099,0.1732,6,1662011045921.2302,782744
197,1662011046.612889,1,9,16,0,6.659010410308838,6.65901,16,-0.00099,-0.00099,0.1533,3,1662011045922.4802,786758
198,1662011046.612889,1,6,19,0,6.659010410308838,6.65901,19,-0.00099,-0.00099,0.0024,0,1662011045923.7305,790772
199,1662011046.612889,1,10,15,0,6.659010410308838,6.65901,15,-0.00099,-0.00099,0.1510,2,1662011045924.9805,794786
200,1662011046.612889,1,8,17,0,6.659010410308838,6.65901,17,-0.00099,-0.00099,0.1341,5,1662011045926.2314,798800
201,1662011046.612889,1,7,18,0,6.659010410308838,6.65901,18,-0.00099,-0.00099,0.3070,14,1662011045927.4814,802814
202,1662011046.612889,1,5,20,0,6.659010410308838,6.65901,20,-0.00099,-0.00099,0.3122,9,1662011045928.7312,806828
203,1662011046.612889,1,11,14,0,6.659010410308838,6.65901,14,-0.00099,-0.00099,0.6460,3,1662011045929.9812,810842
204,1662011046.612889,1,12,13,0,6.659010410308838,6.65901,13,-0.00099,-0.00099,0.2298,3,1662011045931.2312,814856
205,1662011046.612889,1,24,1,0,6.659010410308838,6.65901,1,-0.00099,-0.00099,0.0015,0,1662011045933.7322,818870
206,1662011046.612889,1,19,6,0,6.659010410308838,6.65901,6,-0.00099,-0.00099,0.0029,0,1662011045936.2324,822884
207,1662011046.612889,1,22,3,0,6.659010410308838,6.65901,3,-0.00099,-0.00099,0.0014,0,1662011045939.9834,826898
208,1662011046.612889,1,23,2,0,6.659010410308838,6.65901,2,-0.00099,-0.00099,0.0014,0,1662011045941.2334,830912
209,1662011046.612889,1,16,9,0,6.659010410308838,6.65901,9,-0.00099,-0.00099,0.5173,2,1662011045942.4834,834926
210,1662011046.612889,1,21,4,0,6.659010410308838,6.65901,4,-0.00099,-0.00099,0.0896,46,1662011045943.7332,838940
211,1662011046.612889,1,15,10,0,6.659010410308838,6.65901,10,-0.00099,-0.00099,0.1852,2,1662011045944.9841,842954
212,1662011046.612889,1,14,11,0,6.659010410308838,6.65901,11,-0.00099,-0.00099,0.0014,0,1662011045946.2341,846968
213,1662011046.612889,1,18,7,0,6.659010410308838,6.65901,7,-0.00099,-0.00099,0.7535,1,1662011045947.4844,850982
214,1662011046.612889,1,20,5,0,6.659010410308838,6.65901,5,-0.00099,-0.00099,0.1104,47,1662011045948.7344,854996
215,1662011046.612889,1,13,12,0,6.659010410308838,6.65901,12,-0.00099,-0.00099,0.1742,1,1662011045949.9844,859010
216,1662011046.612889,1,17,8,0,6.659010410308838,6.65901,8,-0.00099,-0.00099,0.3164,12,1662011045951.2354,863024
