row_num,timestamp,run_id,sensor,tube,angle,position,adjusted_position,perpendicular_position,encoder_left,encoder_right,thickness_rc,score_rc,daq_timestamp,byte_offset
1,1662011105.473803,2,1,24,0,19.96437644958496,19.96438,24,13.30438,13.24570,0.2461,13,1662011104404.3362,14
2,1662011105.473803,2,2,23,0,19.96437644958496,19.96438,23,13.30438,13.24570,0.2451,100,1662011104405.5862,4028
3,1662011105.473803,2,3,22,0,19.96437644958496,19.96438,22,13.30438,13.24570,0.2445,50,1662011104408.0862,8042
4,1662011105.473803,2,4,21,0,19.96437644958496,19.96438,21,13.30438,13.24570,0.2465,17,1662011104410.5874,12056
5,1662011105.473803,2,9,16,0,19.96437644958496,19.96438,16,13.30438,13.24570,0.2344,100,1662011104411.8374,16070
6,1662011105.473803,2,6,19,0,19.96437644958496,19.96438,19,13.30438,13.24570,0.0024,0,1662011104413.0874,20084
7,1662011105.473803,2,10,15,0,19.96437644958496,19.96438,15,13.30438,13.24570,0.0014,0,1662011104414.3374,24098
8,1662011105.473803,2,8,17,0,19.96437644958496,19.96438,17,13.30438,13.24570,0.2294,100,1662011104415.5874,28112
9,1662011105.473803,2,7,18,0,19.96437644958496,19.96438,18,13.30438,13.24570,0.2454,58,1662011104416.8384,32126
10,1662011105.473803,2,5,20,0,19.96437644958496,19.96438,20,13.30438,13.24570,0.2531,77,1662011104418.0881,36140
11,1662011105.473803,2,11,14,0,19.96437644958496,19.96438,14,13.30438,13.24570,0.0641,99,1662011104419.3381,40154
12,1662011105.473803,2,12,13,0,19.96437644958496,19.96438,13,13.30438,13.24570,0.2484,99,1662011104420.5881,44168
13,1662011105.473803,2,24,1,0,19.96437644958496,19.96438,1,13.30438,13.24570,0.1379,68,1662011104423.0894,48182
14,1662011105.473803,2,19,6,0,19.96437644958496,19.96438,6,13.30438,13.24570,0.1594,38,1662011104425.5894,52196
15,1662011105.473803,2,22,3,0,19.96437644958496,19.96438,3,13.30438,13.24570,0.1116,45,1662011104429.3403,56210
16,1662011105.473803,2,23,2,0,19.96437644958496,19.96438,2,13.30438,13.24570,0.0014,0,1662011104430.5903,60224
17,1662011105.474843,2,16,9,0,19.96437644958496,19.96438,9,13.30438,13.24570,0.0630,100,1662011104431.8403,64238
18,1662011105.474843,2,21,4,0,19.96437644958496,19.96438,4,13.30438,13.24570,0.1369,58,1662011104433.0903,68252
19,1662011105.474843,2,15,10,0,19.96437644958496,19.96438,10,13.30438,13.24570,-0.0004,0,1662011104434.3403,72266
20,1662011105.474843,2,14,11,0,19.96437644958496,19.96438,11,13.30438,13.24570,0.0710,100,1662011104435.5913,76280
21,1662011105.474843,2,18,7,0,19.96437644958496,19.96438,7,13.30438,13.24570,0.0722,100,1662011104436.8413,80294
22,1662011105.474843,2,20,5,0,19.96437644958496,19.96438,5,13.30438,13.24570,0.1858,36,1662011104438.0913,84308
23,1662011105.474843,2,13,12,0,19.96437644958496,19.96438,12,13.30438,13.24570,0.1940,51,1662011104439.3413,88322
24,1662011105.474843,2,17,8,0,19.96437644958496,19.96438,8,13.30438,13.24570,0.0670,100,1662011104440.5913,92336
25,1662011105.474843,2,1,24,0,19.96437644958496,19.96438,24,13.30438,13.24570,0.2634,13,1662011104444.3423,96350
26,1662011105.474843,2,2,23,0,19.96437644958496,19.96438,23,13.30438,13.24570,0.2451,100,1662011104445.5923,100364
27,1662011105.474843,2,3,22,0,19.96437644958496,19.96438,22,13.30438,13.24570,0.2445,50,1662011104448.0935,104378
28,1662011105.474843,2,4,21,0,19.96437644958496,19.96438,21,13.30438,13.24570,0.2465,17,1662011104450.5933,108392
29,1662011105.474843,2,9,16,0,19.96437644958496,19.96438,16,13.30438,13.24570,0.2344,100,1662011104451.8433,112406
30,1662011105.474843,2,6,19,0,19.96437644958496,19.96438,19,13.30438,13.24570,0.0024,0,1662011104453.0933,116420
31,1662011105.474843,2,10,15,0,19.96437644958496,19.96438,15,13.30438,13.24570,0.0014,0,1662011104454.3442,120434
32,1662011105.474843,2,8,17,0,19.96437644958496,19.96438,17,13.30438,13.24570,0.2294,100,1662011104455.5942,124448
