timestamp,robot_time,encoder_left,encoder_right,velocity
1662011046.1522427,14361297,-0.0009895896911622515,-0.0009895896911622515,0.0
1662011046.3127873,14361416,-0.0009895896911622515,-0.0009895896911622515,0.0
1662011046.4123785,14361520,-0.0009895896911622515,-0.0009895896911622515,0.0
1662011046.5082192,14361653,-0.0009895896911622515,-0.0009895896911622515,0.0
1662011046.5917184,14361738,-0.0009895896911622515,-0.0009895896911622515,0.0
1662011046.699534,14361843,-0.0009895896911622515,-0.0009895896911622515,0.0
1662011046.7904212,14361941,-0.0009895896911622515,-0.0009895896911622515,0.0
1662011046.8974104,14362044,-0.0009895896911622515,-0.0009895896911622515,0.0
1662011046.9943843,14362145,-0.0009895896911622515,-0.0009895896911622515,0.0
1662011047.0978024,14362245,-0.0009895896911622515,-0.0009895896911622515,0.0
1662011047.1934686,14362346,-0.0009895896911622515,-0.0009895896911622515,0.0
1662011047.2969627,14362448,-0.0009895896911622515,-0.0009895896911622515,0.0
1662011047.396747,14362549,-0.0009895896911622515,-0.0009895896911622515,0.0
1662011047.4935658,14362650,-0.0009895896911622515,-0.0009895896911622515,0.0
1662011047.5957286,14362751,-0.0009895896911622515,-0.0009895896911622515,0.0
1662011047.7070782,14362855,-0.0009895896911622515,-0.0009895896911622515,0.0
1662011047.803882,14362955,-0.0009895896911622515,-0.0009895896911622515,0.0
1662011047.9008636,14363055,-0.0009895896911622515,-0.0009895896911622515,0.0
1662011048.0077388,14363157,-0.0009895896911622515,-0.0009895896911622515,0.0
1662011048.1137884,14363258,-0.0009895896911622515,-0.0009895896911622515,0.0
1662011048.2026868,14363359,-0.0009895896911622515,-0.0009895896911622515,0.0
1662011048.3218403,14363471,-0.0009895896911622515,-0.0009895896911622515,0.0
1662011048.4119685,14363567,-0.0009895896911622515,-0.0009895896911622515,0.0
1662011048.5214028,14363669,-0.0009895896911622515,-0.0009895896911622515,0.0
1662011048.6200838,14363769,-0.0009895896911622515,-0.0009895896911622515,0.0
1662011048.719336,14363869,-0.0009895896911622515,-0.0009895896911622515,0.0
1662011048.8204384,14363970,-0.0009895896911622515,-0.0009895896911622515,0.0
